"observationDate","stateProvince","decimalLatitude","decimalLongitude","scientificName","vernacularName","dataResourceName","basisOfRecord","recordID"
2006-04-21,"New South Wales",-33.25,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","ba19c482-5793-46c2-907d-93cadcf74e8d"
2009-05-19,"New South Wales",-32.92,151.25,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","fd54822d-7080-4205-9ead-2100114d4e8e"
2008-04-22,"New South Wales",-35.25,149.25,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","56568883-8d6f-4084-811f-4b02c16c0696"
2007-07-01,"New South Wales",-33.75,150.92,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","61200813-e941-4586-a994-b83b8831a3b5"
2005-06-03,"New South Wales",-32.75,149.08,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","31c05eb5-92e5-462e-ae9f-79059b4845dd"
2007-08-25,"New South Wales",-33.75,150.92,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","b764a919-207e-44c3-9190-4d635cf73554"
2005-08-14,"New South Wales",-33.75,150.92,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","90bda0f4-82b9-411d-b4dc-b2a2df4eb750"
2004-08-01,"New South Wales",-33.08,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","0cb8fcc0-4594-4d76-a17e-4694958f3b1d"
2007-06-11,"New South Wales",-33.75,150.92,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","d85cb2ef-4050-4598-8176-a2d4d4ef1806"
2004-06-16,"New South Wales",-33.08,150.25,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","cb5770fb-6351-48a4-9cc1-324485b7506d"
2008-04-20,"New South Wales",-35.25,149.25,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","d999223e-1618-4c9a-96b6-e5ae47b7b73a"
2007-05-13,"New South Wales",-33.42,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","7513ba2e-6cc2-4b0a-b341-e78180cf7079"
2008-08-05,"New South Wales",-34.58,147.75,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","22afd85d-ccba-4b08-a4d9-c8dbce6f1ceb"
2009-05-31,"New South Wales",-33.08,150.25,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","8c84a67e-0643-44a7-aa7b-84b1b8ad0932"
2004-07-03,"New South Wales",-36.08,146.92,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","7fd5c0e8-b53b-4c95-92ae-48a7c4356a2c"
2005-06-03,"New South Wales",-32.68,149.1,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","37f40781-a1e1-4603-a43e-275a0e316433"
2004-08-02,"New South Wales",-33.25,151.25,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","c8467586-cac6-43af-a39a-d6093eb10dcd"
2008-05-02,"New South Wales",-35.42,150.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","96887b86-763f-4c89-b53d-b69f86d09db7"
2004-07-12,"New South Wales",-33.25,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","fb4c41d3-b23f-45cc-8377-6bd64f8a0545"
2004-08-01,"New South Wales",-33.42,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","f2841879-88d9-4f81-ae49-b56b8ac59d44"
2004-05-20,"New South Wales",-34.58,147.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","e7e87044-2b2a-4541-aa19-2187eeb403a0"
2004-09-03,"New South Wales",-33.23,151.53,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","8dff22d7-b196-4e33-b4c3-837d0d46e1f8"
2008-09-10,"New South Wales",-36.25,150.08,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","aa9eb61f-0ef6-4a16-b1d3-a8bf6e923b14"
2005-07-05,"New South Wales",-33.75,150.58,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","f1af20bf-cfc2-4942-9564-57ffbbc2eea3"
2008-05-11,"New South Wales",-33.08,150.25,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","ade10404-808a-4d77-808e-b6fcc94ab5fe"
2004-08-02,"New South Wales",-33.25,151.58,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","b7466de0-6941-42c2-905d-d6ee78752588"
